sector,theta,delta_eps,beta2,p,dlnpi_Mexico,alpha_Mexico,bnd_Mexico,wbnd_Mexico,wcontr_Mexico,dlnpi_Canada,alpha_Canada,bnd_Canada,wbnd_Canada,wcontr_Canada,dlnpi_US,alpha_US,bnd_US,wbnd_US,wcontr_US
Agriculture,9.11,0.3446,-0.038172,0.483802,0.060390,0.0463,0.6937,0.003527,0.030699,0.002119,0.0085,0.0243,0.000023,0.000197,0.004785,0.0034,0.0550,0.000020,0.000177
Mining,13.53,2.9931,-0.331525,0.000000,0.020333,0.0000,2.0286,0.000000,0.000000,0.005795,0.0118,0.5782,0.000503,0.000504,0.010017,0.0048,0.9994,0.000353,0.000353
Food,2.62,0.3481,-0.038561,0.347428,0.013186,0.0933,0.1530,0.005449,0.046959,0.004309,0.0539,0.0500,0.001029,0.008867,0.001136,0.0370,0.0132,0.000186,0.001603
Textile,8.10,0.4702,-0.052082,0.401432,0.276640,0.0208,4.3360,0.011135,0.071045,0.118270,0.0161,1.8537,0.003687,0.023524,0.031612,0.0164,0.4955,0.001003,0.006400
Wood,11.50,0.2611,-0.028922,0.677093,0.682200,0.0000,5.9378,0.000000,0.000000,0.009323,0.0000,0.0811,0.000000,0.000000,0.010873,0.0017,0.0946,0.000014,0.000158
Paper,16.52,1.0909,-0.120827,0.000951,0.300480,0.0000,10.9260,0.000000,0.000000,0.002891,0.0003,0.1051,0.000002,0.000006,0.003328,0.0119,0.1210,0.000087,0.000239
Petroleum,64.85,0.8356,0.092549,0.206877,2.216800,0.0144,61.7419,0.013665,0.049064,0.223710,0.0102,6.2307,0.000979,0.003514,0.041592,0.0075,1.1584,0.000134,0.000482
Chemicals,3.13,0.5227,-0.057898,0.044048,0.052250,0.0123,0.9104,0.003588,0.020595,0.003752,0.0164,0.0654,0.000342,0.001964,0.001910,0.0099,0.0333,0.000105,0.000605
Plastic,1.67,0.8210,-0.090940,0.057434,0.083518,0.0029,2.2857,0.003998,0.014608,0.024236,0.0045,0.6633,0.001784,0.006517,0.001530,0.0010,0.0419,0.000026,0.000095
Minerals,2.41,0.5513,-0.061069,0.076094,0.022855,0.0120,0.4200,0.002089,0.011368,0.013024,0.0000,0.2394,0.000000,0.000000,0.002705,0.0008,0.0497,0.000016,0.000090
Basic metals,3.28,1.2502,-0.138479,0.000095,0.060401,0.0000,2.5172,0.000000,0.000000,0.011577,0.0000,0.4825,0.000000,0.000000,0.004766,0.0000,0.1986,0.000000,0.000000
Metal products,6.99,0.2167,-0.024003,0.569280,0.283710,0.0075,2.0494,0.002197,0.030410,0.058328,0.0000,0.4213,0.000000,0.000000,0.003897,0.0038,0.0282,0.000015,0.000214
Machinery nec,1.45,0.1655,-0.018330,0.606985,0.074287,0.0189,0.4098,0.005332,0.096655,0.002037,0.0135,0.0112,0.000105,0.001896,0.002012,0.0129,0.0111,0.000098,0.001785
Office,12.95,0.2761,0.030580,0.587592,0.264940,0.0093,2.4382,0.001742,0.018925,0.080150,0.0133,0.7376,0.000757,0.008225,0.040197,0.0070,0.3699,0.000199,0.002166
Electrical,12.91,0.6561,-0.072670,0.082141,0.000000,0.0000,0.0000,0.000000,0.000000,0.198310,0.0000,4.3370,0.000000,0.000000,0.178130,0.0000,3.8956,0.000000,0.000000
Communication,3.95,0.2641,0.029252,0.514319,0.000000,0.0142,0.0000,0.000000,0.000000,0.009469,0.0169,0.0834,0.000358,0.004063,0.018876,0.0193,0.1662,0.000813,0.009230
Medical,8.71,0.1946,-0.021556,0.493066,0.329500,0.0012,2.1375,0.000290,0.004472,0.041224,0.0027,0.2674,0.000081,0.001255,0.034450,0.0040,0.2235,0.000104,0.001601
Auto,8.22,1.3698,-0.151721,0.011979,0.130530,0.0356,5.9599,0.025820,0.056550,0.207110,0.0476,9.4565,0.054722,0.119849,0.019156,0.0385,0.8746,0.004099,0.008978
Other Transport,8.22,0.1886,0.020890,0.728703,0.184890,0.0000,1.1623,0.000000,0.000000,0.051705,0.0049,0.3250,0.000192,0.003051,0.005284,0.0090,0.0332,0.000036,0.000579
Other Manuf,3.98,1.5217,0.168554,0.002955,0.069156,0.0223,3.5079,0.019648,0.038734,0.012379,0.0127,0.6279,0.002008,0.003959,0.006068,0.0166,0.3078,0.001282,0.002526
