dgp,lib,ln_lam,error_ek_pct,error_melitz_pct,bound_ek_pct,bound_melitz_pct,holds_ek,holds_melitz
Frechet/Pareto,10%,0.2849540265740762,2.0816681711721685e-15,6.938893903907228e-16,2.530900170097505e-14,1.687266780065004e-15,True,True
Frechet/Pareto,25%,0.927413958883584,1.1102230246251565e-14,5.551115123125783e-15,8.237090644090585e-14,5.4913937627270594e-15,True,True
Frechet/Pareto,40%,1.8928709380764719,1.6653345369377348e-14,5.551115123125783e-15,1.6812071184770543e-13,1.12080474565137e-14,True,True
Log-normal,10%,0.2580528177121004,0.11191498541720801,0.006280733200569877,6.608007751235731,0.21791151481580662,True,True
Log-normal,25%,0.7352777489486051,2.8524467715265622,0.06787449102149679,18.828397641386076,0.6209019126561303,True,True
Log-normal,40%,1.355396279193476,13.605496991105603,0.21330888757756794,34.707891191868114,1.1445581528362776,True,True
Mixture,10%,0.28216344036543684,0.0018239795493958655,0.011766660331793966,4.006236122153444,1.2179823058068369,True,True
Mixture,25%,0.8805232109429267,0.17151574604705455,0.22706844608572363,12.501916936883916,3.8008527589248775,True,True
Mixture,40%,1.7547868373788433,0.7029857176060639,1.0719884514576394,24.914958527163122,7.574685492996901,True,True
Truncated,10%,0.28499073598320046,5.394457394669594e-07,0.00030388515530679894,4.971054239124494e-05,0.014747899511275241,True,True
Truncated,25%,0.927642554637592,2.7635100124934198e-06,0.0034148457710270197,0.00016180741586966204,0.048004294353569135,True,True
Truncated,40%,1.8934066313262106,7.033409588075301e-06,0.011691196539603821,0.00033026431643712854,0.09798132783666051,True,True
